#ess=1345.94819491 nsamp=6729
#post like mchirp eta tRef dist phase inc lambda beta pol 
-5.93464820484 -3.59941398267 46.4798272623 0.242866743293 0.00550387043676 309.176849163 1.5648589353 1.88019740771 5.65836907102 -0.0613146014138 0.752359667932 
-6.59765056439 -4.10360261474 46.4798211212 0.242863433747 -0.00105060502081 430.306381434 6.02468164354 2.19333709636 5.66082029888 -0.0561975445061 2.28945447913 
-7.78956821006 -5.31255187446 46.4798246274 0.242861815308 -0.00213238702886 501.720639591 2.88827804456 2.1707791486 5.66208344745 -0.0267520839432 2.37864041252 
-10.6811454146 -8.27520457325 46.4798227272 0.242861654363 -0.0068948862335 361.302076543 4.52516691405 2.04734346595 5.65697447025 -0.0788237128844 0.723869260218 
-8.65301917802 -5.76659258099 46.4798226035 0.242865415473 -0.00691293417399 654.275814886 2.80066920614 2.55952752741 5.66195667158 -0.0827803604305 2.39850026805 
-7.63571018505 -5.30880969466 46.4798265958 0.242864684025 0.00266335034019 324.956986481 6.08178570537 1.85783879235 5.66195043584 0.0289907868644 2.39896034154 
-8.78302794179 -6.3919266724 46.4798209572 0.242865719385 0.00508976596593 440.360295149 4.59376446985 2.02059451441 5.65954875712 0.0570779885812 0.588332562303 
-12.7437936468 -10.0365318806 46.4798296725 0.242870528862 -0.00415654016181 636.397435427 1.15604007713 2.42595966472 5.66104845801 0.0470535436324 1.30955992235 
-6.90363263116 -4.39702726443 46.4798264795 0.242866103337 -0.00462982089439 464.205530026 4.93211367574 2.21056937238 5.65989309591 0.0555192563301 0.45202255307 
-5.45289803007 -3.07784272664 46.4798236476 0.242855550683 -0.00410271707316 335.582681207 0.0229646574871 1.98382566745 5.66244026526 -0.0708519506184 2.08217408329 
-6.25105970807 -3.8739030098 46.4798295818 0.242855522929 -0.00261678433068 375.373394058 3.32641565603 1.9920114761 5.65987432822 -0.0444029235709 2.16041487647 
-7.33882102043 -4.90598818584 46.4798216824 0.242858173528 -0.00742101228012 396.317568127 2.88343630822 2.10008722728 5.66025676392 -0.0442367038886 2.33653574973 
-8.1306789295 -5.80526879135 46.4798201394 0.242857174854 -0.00551253448474 297.551693898 1.27353412917 1.84355155871 5.66537858004 -0.0778939474414 0.686274582958 
-5.30287147031 -2.94216122643 46.4798227275 0.242865571396 -0.00404407800233 283.588780029 6.1450984578 1.95035950708 5.6631675982 -0.0658846517578 2.21614754468 
-7.63974200828 -5.27488027516 46.4798240152 0.242870379986 0.00176000572471 400.020930747 1.36426242938 1.96274027986 5.66169330812 0.050891922281 0.834692442782 
-5.31673484972 -2.84854343723 46.4798264705 0.242863122338 -0.00753902944502 463.21564258 3.14683833865 2.15755847282 5.66256678809 -0.0299925807288 2.24589690631 
-13.1501611475 -10.4431444842 46.4798282614 0.242882192347 0.00335229446816 593.370582127 4.76590553906 2.42624560132 5.65898628293 0.0326568049926 0.675639215117 
-6.76503426481 -4.36922541374 46.479821776 0.242862978304 -0.00970392302756 357.035087049 2.99731618674 2.03325842466 5.66095050716 0.0157422557436 2.20034928609 
-6.64673284732 -4.2472335912 46.4798255177 0.242868369926 0.00622390714512 409.131996533 3.33949981874 2.03564373967 5.66247122386 0.0723788609003 1.99587437761 
-4.24272267029 -1.91597079438 46.4798267213 0.242865079524 -0.00704479643823 281.905067377 4.67877513382 1.85515507042 5.66268493857 -0.0460349952902 0.67018734806 
